Date,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,WSPM
2015.1.01,38.17,61,21.54,49.13,941.67,24.17,-2.04,1024.25,-22.34,2.27
2015.1.02,59.17,83.88,34.42,69.46,1337.5,13.5,-1.38,1022.67,-17.98,1.71
2015.1.03,161,196.33,76.58,117.42,3558.33,2.25,-2.83,1011.08,-15.46,1.01
2015.1.04,189.79,221.58,82.92,128.42,4216.67,3.83,0.38,1010.38,-13.08,1.14
2015.1.05,100.79,162.38,61.58,68.25,2891.67,26.54,3.58,1013.67,-14.07,2.75
2015.1.06,28.79,55.13,24.21,38.21,837.5,24.92,-0.13,1021.04,-21.81,2.28
2015.1.07,52.75,75.79,36.54,65.58,1612.5,7.46,-2.71,1023.92,-17.02,0.98
2015.1.08,129.67,172.81,53.6,103.44,3320.83,2,-1.88,1023.5,-13.42,1.31
2015.1.09,75.96,97.67,44.08,68.5,1879.17,22.42,1.88,1021.92,-15.37,1.75
2015.1.10,132.46,165.79,57.5,103.17,2891.67,10,1.21,1016.21,-13.1,1.05
2015.1.11,29.08,46,14.42,41.21,812.5,30.83,2.38,1025.92,-13.54,1.7
2015.1.12,117.63,139.17,44,83.08,2504.17,8.21,-1.68,1031.55,-10.82,1.41
2015.1.13,151.08,197.17,66.04,97.96,3112.5,5.04,-2.96,1028.08,-8.87,1.2
2015.1.14,202.33,227.46,67.21,113.88,3504.17,2.13,-2.56,1026.36,-7.81,1.09
2015.1.15,300.71,328.13,42.17,127.58,4825,2.25,-3.25,1022.91,-7.7,0.99
2015.1.16,100.08,113.75,13.17,36.08,2033.33,39.71,0.13,1023,-14.86,3.2
2015.1.17,60,68.46,30,57.58,1404.17,24.75,-2.54,1025.79,-15.63,1.5
2015.1.18,63.75,104.98,39.9,52.56,1595.83,31.25,1.83,1014.04,-14.12,2.37
2015.1.19,37.08,68.17,27.96,62,1354.17,21.29,1.42,1018.54,-14.58,1.51
2015.1.20,79.13,108.5,51.38,80.21,2129.17,7.83,-0.25,1016.88,-9.36,1.27
2015.1.21,17.13,24.58,20.42,32.5,870.83,37.67,1.58,1021.46,-14.12,2.58
2015.1.22,99.42,128.96,44.13,85.04,2179.17,10.67,-1.75,1018.46,-13.05,1.18
2015.1.23,186.08,218.21,68.21,122.04,3650,3.83,-0.83,1013.25,-11.5,1
2015.1.24,82.29,98.17,34.71,72.79,1950,10.33,-0.08,1019.67,-8.36,1.23
2015.1.25,107,110.58,18,53.38,1575,10.38,0.81,1019.7,-3.61,1.6
2015.1.26,83.5,87.42,10.58,34.46,1737.5,32.42,-0.42,1022.92,-13.08,2.45
2015.1.27,14.77,18.5,15.6,27.13,875,39.15,-3.78,1030.59,-21.65,2.29
2015.1.28,26.23,32.21,17.46,49.29,1150,25.17,-2.21,1028.04,-19.62,1.61
2015.1.29,56.79,65,21.67,38.67,1266.67,32.42,0.08,1023.08,-14.5,2.2
2015.1.30,11.1,27.1,17.15,21.75,630,52.5,-2.35,1029.75,-21.29,1.85
2015.1.31,28.92,45.71,20.42,42.88,820.83,29.96,-2.35,1032.51,-21.71,1.54
2015.2.01,69.08,90.58,49.92,73.5,1841.67,6.17,-3.67,1028.67,-17.17,0.95
2015.2.02,138.38,158,74.52,101.38,3080.95,11.52,-1.32,1026.32,-14.58,1.36
2015.2.03,105.29,114.13,39.38,75.33,2179.17,41.63,1.17,1025.25,-10.63,2.01
2015.2.04,9.54,47.42,14.29,17.54,412.5,78.48,1.53,1026.4,-16.51,3.3
2015.2.05,22.46,34.75,18.92,44.21,712.5,56.33,1.79,1026.08,-14.47,1.53
2015.2.06,63.17,83.54,32.21,93,1829.17,27.26,0.92,1016.08,-12.28,1.18
2015.2.07,11.96,35.38,15.67,22,512.5,83.46,1.71,1023.58,-19.6,2.97
2015.2.08,20.88,33.5,18.38,26.71,550,72.04,-2.88,1029.88,-24.69,1.91
2015.2.09,99.29,123.29,49.42,88,1887.5,78.54,-1.97,1021.06,-20.01,1.49
2015.2.10,118.83,156.77,52.42,107.29,2520.83,35.43,1.73,1010.65,-15.52,1.19
2015.2.11,42.6,71.06,25.58,45.33,1195.83,64.96,4.52,1010.92,-15.13,1.75
2015.2.12,28.67,41.81,11.96,40.29,691.67,70.6,1.96,1013.79,-13.22,1.72
2015.2.13,115.75,139.42,36.25,92.13,2220.83,52.23,1.54,1011.4,-10.03,1.36
2015.2.14,225.92,245.17,63.67,128.88,3395.83,27.79,3.42,1006.63,-9.37,1.26
2015.2.15,266.29,294.83,85.83,136.42,4745.83,8.71,2.58,1012.29,-7.5,1.13
2015.2.16,107.33,146.5,38.25,56.04,2287.5,32.6,4.42,1011.88,-10.47,1.96
2015.2.17,19.17,37.54,10.38,32.08,545.83,45.67,4.48,1017.2,-10.92,1.54
2015.2.18,41.38,54.75,20.67,38.25,820.83,55.63,4.13,1023.96,-12.66,1.7
2015.2.19,171.58,215.63,53.71,42.29,1312.5,48.04,1.83,1022.33,-6.86,1.89
2015.2.20,118.21,118.21,13.38,44.04,1483.33,25.96,1.11,1015.14,-0.16,1.08
